#time	mic	%cpu	cpuT	memT	totW
1457975363	mic3	0.26	57.00	42.00	142.00
1457975364	mic4	9.80	64.00	46.00	167.00
1457975365	mic5	8.98	70.00	52.00	151.00
1457975426	mic0	9.80	54.00	40.00	163.00
1457975427	mic1	9.99	73.00	53.00	208.00
1457975428	mic2	0.36	70.00	57.00	135.00
1457975429	mic3	0.00	60.00	42.00	169.00
1457975430	mic4	0.00	68.00	46.00	201.00
1457975430	mic5	2.61	67.00	51.00	135.00
1457975491	mic0	0.03	50.00	39.00	119.00
1457975492	mic1	9.88	69.00	53.00	171.00
1457975493	mic2	0.05	73.00	57.00	131.00
1457975494	mic3	9.87	58.00	42.00	167.00
1457975495	mic4	8.74	63.00	46.00	165.00
1457975496	mic5	7.90	68.00	51.00	114.00
1457975557	mic0	0.33	50.00	40.00	111.00
1457975558	mic1	0.22	66.00	53.00	125.00
1457975559	mic2	9.57	75.00	57.00	185.00
1457975560	mic3	0.35	56.00	42.00	116.00
1457975561	mic4	0.32	62.00	45.00	114.00
1457975562	mic5	7.51	69.00	51.00	114.00
1457975623	mic0	9.77	54.00	40.00	164.00
1457975624	mic1	8.84	70.00	53.00	155.00
1457975625	mic2	9.74	74.00	57.00	183.00
1457975626	mic3	0.11	56.00	42.00	116.00
1457975626	mic4	0.00	64.00	45.00	168.00
1457975627	mic5	9.83	68.00	51.00	166.00
1457975688	mic0	0.37	52.00	40.00	110.00
1457975689	mic1	9.81	68.00	53.00	171.00
1457975690	mic2	0.34	71.00	57.00	135.00
1457975691	mic3	9.83	59.00	42.00	168.00
1457975692	mic4	6.78	64.00	46.00	115.00
1457975693	mic5	0.33	67.00	51.00	114.00
1457975754	mic0	0.09	53.00	40.00	108.00
1457975755	mic1	0.06	66.00	52.00	133.00
1457975756	mic2	0.53	74.00	57.00	136.00
1457975757	mic3	9.76	57.00	42.00	167.00
1457975758	mic4	5.64	67.00	46.00	189.00
1457975759	mic5	0.12	67.00	52.00	113.00
1457975820	mic0	0.00	53.00	39.00	166.00
1457975821	mic1	0.00	67.00	53.00	112.00
1457975822	mic2	9.44	72.00	57.00	183.00
1457975822	mic3	0.34	55.00	41.00	116.00
1457975823	mic4	9.82	63.00	45.00	167.00
1457975824	mic5	9.72	67.00	51.00	171.00
1457975885	mic0	6.08	54.00	40.00	145.00
1457975886	mic1	0.00	68.00	53.00	172.00
1457975887	mic2	9.82	73.00	57.00	185.00
1457975888	mic3	0.58	58.00	42.00	126.00
1457975889	mic4	0.07	62.00	45.00	122.00
1457975890	mic5	0.05	67.00	52.00	115.00
1457975951	mic0	9.26	53.00	40.00	109.00
1457975952	mic1	9.79	68.00	52.00	171.00
1457975953	mic2	9.85	72.00	57.00	185.00
1457975954	mic3	7.98	61.00	42.00	190.00
1457975955	mic4	0.37	61.00	45.00	114.00
1457975956	mic5	7.14	67.00	52.00	113.00
1457976017	mic0	0.00	54.00	40.00	160.00
1457976018	mic1	0.37	66.00	52.00	116.00
1457976018	mic2	9.52	75.00	57.00	217.00
1457976019	mic3	8.78	58.00	42.00	167.00
1457976020	mic4	5.59	65.00	46.00	167.00
1457976021	mic5	0.00	69.00	51.00	167.00
1457976082	mic0	9.87	54.00	39.00	165.00
1457976083	mic1	0.00	66.00	52.00	111.00
